precision,recall,f1-score,support,training_batch,model,img_size,windows_time
0.1151492096256307,0.1282190233137488,0.1158843748242718,775.0,B1B2,Logistic Regression,8,30_seconds
0.1345604398033159,0.1632340923397172,0.1320249803667627,775.0,B1B2,SGD Classifier,8,30_seconds
0.0906773072217064,0.1047792430657089,0.0932774838368634,775.0,B1B2,Decision Tree,8,30_seconds
0.1855594656448999,0.2365691368997921,0.1757881524818131,775.0,B1B2,Random Forest,8,30_seconds
0.0977058311402672,0.1466366156597401,0.1049132109092959,775.0,B1B2,Gradient Boosting,8,30_seconds
0.0999556789213826,0.1624655743530516,0.1099718877595939,775.0,B1B2,AdaBoost,8,30_seconds
0.1020473905621247,0.1061745110857577,0.0696726165688273,775.0,B1B2,K-Nearest Neighbors,8,30_seconds
0.1176229503357162,0.1601458235919073,0.1097803202807556,775.0,B1B2,Support Vector Machine,8,30_seconds
0.1786992872545755,0.1385550407294032,0.1251226763297322,775.0,B1B2,Gaussian Naive Bayes,8,30_seconds
0.1290206203523143,0.1480268533793939,0.1320716488758133,775.0,B1B2,Multi-layer Perceptron,8,30_seconds
0.1047262364809689,0.1130625547043918,0.0986889232363279,754.0,B1B3,Logistic Regression,8,30_seconds
0.1170931400710999,0.1141028825946493,0.1099698580730898,754.0,B1B3,SGD Classifier,8,30_seconds
0.1279874468083917,0.1558733499039461,0.1338056870924404,754.0,B1B3,Decision Tree,8,30_seconds
0.1317054235895236,0.1888449857712935,0.1370681887896545,754.0,B1B3,Random Forest,8,30_seconds
0.1164419401523706,0.1381010961574806,0.1056031980150501,754.0,B1B3,Gradient Boosting,8,30_seconds
0.0525442349698719,0.1168568665377176,0.0567185454063282,754.0,B1B3,AdaBoost,8,30_seconds
0.1061344518974283,0.1167965023393779,0.0879951020713664,754.0,B1B3,K-Nearest Neighbors,8,30_seconds
0.1364484750888298,0.1635552214377617,0.1165709606425555,754.0,B1B3,Support Vector Machine,8,30_seconds
0.1513959743341214,0.1273556774220805,0.1142021242564211,754.0,B1B3,Gaussian Naive Bayes,8,30_seconds
0.12693675211339575,0.13516737370123347,0.12018240326590615,754.0,B1B3,Multi-layer Perceptron,8,30_seconds
