precision,recall,f1-score,support,training_batch,model,img_size,windows_time
0.132858404840924,0.1580674250906507,0.1347838991972915,876.0,B1B2,Logistic Regression,8,10_seconds
0.1129678855667759,0.1259949613077582,0.1147086034925629,876.0,B1B2,SGD Classifier,8,10_seconds
0.1177399837409348,0.126420734640929,0.1173014822122467,876.0,B1B2,Decision Tree,8,10_seconds
0.1820023391004725,0.1818466610807244,0.157836795635575,876.0,B1B2,Random Forest,8,10_seconds
0.1164511835924951,0.1434092904109379,0.1111521686301122,876.0,B1B2,Gradient Boosting,8,10_seconds
0.1058862470676463,0.1513759551916529,0.0872049423305053,876.0,B1B2,AdaBoost,8,10_seconds
0.117209846684003,0.1264157345520437,0.1018961238089382,876.0,B1B2,K-Nearest Neighbors,8,10_seconds
0.095908258395201,0.1379674602414702,0.1019565115230428,876.0,B1B2,Support Vector Machine,8,10_seconds
0.1813594471051195,0.1111676924362309,0.0599594343877584,876.0,B1B2,Gaussian Naive Bayes,8,10_seconds
0.12103056885306573,0.1309024322789284,0.12135504570045658,876.0,B1B2,Multi-layer Perceptron,8,10_seconds
