precision,recall,f1-score,support,training_batch,model,img_size,windows_time
0.1512368720538328,0.167810459347803,0.134176552429189,700.0,B1B2,Logistic Regression,8,40_seconds
0.1374527165221132,0.1751611197757242,0.1409083941502422,700.0,B1B2,SGD Classifier,8,40_seconds
0.0841885506800468,0.0986350423571519,0.087924638251757,700.0,B1B2,Decision Tree,8,40_seconds
0.1360943320952623,0.2311089209939784,0.1656991226478051,700.0,B1B2,Random Forest,8,40_seconds
0.1412754959549323,0.1997620238424836,0.1462540225700033,700.0,B1B2,Gradient Boosting,8,40_seconds
0.0864360654249443,0.1469832721556859,0.0955479808558987,700.0,B1B2,AdaBoost,8,40_seconds
0.1431818408619616,0.1231517720454375,0.0942374588155457,700.0,B1B2,K-Nearest Neighbors,8,40_seconds
0.0832317569063058,0.1511968342428112,0.0970885636315727,700.0,B1B2,Support Vector Machine,8,40_seconds
0.1506974697157647,0.1603453864339598,0.1392688675384941,700.0,B1B2,Gaussian Naive Bayes,8,40_seconds
0.1602725232984656,0.1976753816839897,0.1528827286847253,700.0,B1B2,Multi-layer Perceptron,8,40_seconds
0.1737543145454614,0.1572847872414127,0.1538605707704256,670.0,B1B3,Logistic Regression,8,40_seconds
0.1770383991461644,0.152387825384367,0.1477531723058447,670.0,B1B3,SGD Classifier,8,40_seconds
0.1401877914864006,0.1293898245765277,0.1318310064330875,670.0,B1B3,Decision Tree,8,40_seconds
0.0903133505106866,0.1608768237110483,0.1113792209833338,670.0,B1B3,Random Forest,8,40_seconds
0.1264375354859822,0.1626147902196312,0.1345192844494975,670.0,B1B3,Gradient Boosting,8,40_seconds
0.0669012551694116,0.135588048315321,0.0763508544538989,670.0,B1B3,AdaBoost,8,40_seconds
0.2190847236804143,0.1437416269021048,0.116885513835116,670.0,B1B3,K-Nearest Neighbors,8,40_seconds
0.1857158831457575,0.1561466853416161,0.1106604382574739,670.0,B1B3,Support Vector Machine,8,40_seconds
0.188525261869968,0.1169079682890894,0.1145943333965599,670.0,B1B3,Gaussian Naive Bayes,8,40_seconds
0.1686722996812838,0.15682670914132654,0.1583147311825056,670.0,B1B3,Multi-layer Perceptron,8,40_seconds
